Team,Season,SeasonType,Win,Loss,MatchCount,WinPercentage,Pts,OppPts,Pace,OffEff,DefEff,EFgPercentage,OppEFgPercentage,TsPercentage,OppTsPercentage,RebRate,EffPts,OppEffPts,FastBreakPts,OppFBPts,PointsInPaint,OppPointsInPaint,PointsOffTO,OppPointsOffTO,SecondChancePTS,OppSecondChancePTS,PersonalFoulsPG,OppPersonalFoulsPG,ShootingFoulsPG,ShootingFoulsDrawnPG,LessThnEightFeedUsage,EightToSixteenFeedUsage,SixteenToTwentyFourFeetUsage,TwentyFourPlusFeetUsage,AvgShotDistance,OppAvgShotDistance,AvgMadeShotDistance,OppMadeAvgShotDis
Atlanta Hawks,2018,REG,28,53,81,0.345679012,112.93,119.21,103.46,108.34,114.73,0.521,0.541,0.555,0.58,50.07,125.25,138.43,15.26,16.51,51.19,49.36,21.14,16.88,14.11,14.51,23.519,22.124,14.889,12.642,43.55,11.46,4.8,39.91,13.06,13.34,10.34,10.75
Boston Celtics,2018,REG,49,33,82,0.597560976,112.39,107.95,98.97,112.98,108.22,0.534,0.514,0.567,0.55,49.25,132.42,119.59,16.24,13.17,44.78,45.93,14.82,18.12,12.48,13.52,21.5,22.037,12.268,13.415,43.45,11.46,4.89,39.96,13.18,12.89,10.7,10.45
Brooklyn Nets,2018,REG,42,40,82,0.512195122,112.24,112.32,100.3,110.23,110.23,0.52,0.512,0.556,0.548,50.18,122.98,127,11.62,11.83,48.76,51.2,17.35,15.38,13.82,14.4,20.354,19.537,12.134,10.549,36.19,14.82,10.9,38,14,13.49,11.64,10.85
Charlotte Hornets,2018,REG,39,43,82,0.475609756,110.74,111.84,97.84,112.33,113.52,0.514,0.538,0.554,0.57,48.91,124,131.99,11.74,13.3,46.78,48.98,13.63,16.09,13.01,13.44,18.902,20.561,10.854,12.317,41.86,11.99,8.39,37.25,13.4,13.2,10.96,10.56
Chicago Bulls,2018,REG,22,60,82,0.268292683,104.94,113.35,98.22,105.64,114.32,0.505,0.541,0.541,0.573,48.03,115.37,133.38,12.06,13.04,50.78,49.12,16.61,15.18,10.95,13.38,20.281,18.707,11.988,11.207,46.23,14.31,10.05,29.22,11.9,13.19,9.58,10.59
Cleveland Cavaliers,2018,REG,19,63,82,0.231707317,104.48,114.09,96.02,108.39,118.4,0.503,0.564,0.54,0.593,49.16,111.07,135.65,10.59,14.04,44.49,50.05,16.79,14.38,13.51,12.67,20.024,19.415,11.244,10.841,40.56,15.78,10.45,33.04,12.94,13.21,10.78,10.63
Dallas Mavericks,2018,REG,33,48,81,0.407407407,108.72,109.96,98.33,109.99,111.44,0.517,0.521,0.554,0.556,50.26,119.91,125.95,12.37,16.6,44.62,47.6,15.59,14.59,12.9,12.84,20.049,23.235,11.765,13.531,38.95,12.46,6.64,41.54,13.99,13.34,10.99,10.59
Denver Nuggets,2018,REG,53,28,81,0.654320988,110.86,106.9,97.1,113.89,109.94,0.528,0.522,0.558,0.557,52.23,130.79,121.17,12.72,12.28,52.25,48.96,14.88,15.84,15.51,12.15,20.062,20.42,11.951,11.247,44.62,13.5,7.15,34.48,12.56,12.74,10.07,9.95
Detroit Pistons,2018,REG,41,40,81,0.50617284,107.24,107.44,96.56,110.06,110.19,0.51,0.527,0.545,0.563,50.75,117.53,122.3,10.06,12.05,44.84,49.95,16.16,15.78,13.25,11.26,22.099,21.346,12.654,12.16,42.79,10.51,7.33,38.94,13.49,12.61,11.01,9.95
Golden State Warriors,2018,REG,57,25,82,0.695121951,117.68,111.22,100.25,116.65,109.87,0.564,0.508,0.596,0.546,51.04,143.79,121.99,19.1,15.07,43.24,47.07,17.35,16.26,12.57,13.77,21.427,19.524,12.854,11.012,32.99,14.86,13.8,38.09,14.76,13.7,12.35,11.18
Houston Rockets,2018,REG,53,29,82,0.646341463,113.92,109.15,96.04,117.72,112.95,0.542,0.525,0.581,0.562,48.08,124.81,123.77,12.04,13.84,42.1,51.78,16.32,18.07,13.11,13.66,21.988,20,12.671,12.622,38.48,7.12,2.53,51.74,15.11,12.53,12.31,9.67
Indiana Pacers,2018,REG,48,34,82,0.585365854,108.01,104.68,97.24,110.93,107.46,0.53,0.516,0.561,0.549,49.63,126.4,118.01,14.59,13.95,48.85,44.78,14.94,19,13.39,13.37,19.439,20.024,11.39,11.415,43.81,11.84,15.23,28.95,12.44,13.34,10.25,10.81
Los Angeles Clippers,2018,REG,47,34,81,0.580246914,114.91,114.12,101.24,112.81,111.85,0.528,0.514,0.574,0.556,49.82,129.72,130.22,14.26,14.72,51.26,51.06,17.77,15.51,13.2,13.88,23.272,24.074,14.123,15.531,45.64,15.08,9.94,29.11,11.95,12.66,10.03,10.11
Los Angeles Lakers,2018,REG,36,45,81,0.444444444,111.62,113.58,102.29,108.56,110.62,0.526,0.516,0.554,0.552,49.76,126.22,129.91,19.2,15.81,55.53,50.17,18.58,16.69,12.85,14.04,20.741,20.815,11.901,12.691,47.38,10.44,8.03,33.99,12.19,12.92,9.26,10.47
Memphis Grizzlies,2018,REG,33,49,82,0.402439024,103.54,106.13,95.71,107.09,109.76,0.508,0.521,0.548,0.563,48.31,118.17,121.13,12.34,16.28,46.34,42.73,16.57,17.15,11.18,11.56,21.963,21.439,12.976,12.134,41.71,14.57,9.52,33.97,12.81,13.34,10.34,10.87
Miami Heat,2018,REG,39,43,82,0.475609756,105.71,105.94,97.29,108.38,108.36,0.515,0.51,0.542,0.547,51.19,120.34,118.48,9.91,12.54,48.93,42.27,17.06,15.52,14.15,13.67,20.878,20.146,11.976,11.622,42.68,14.1,6.46,36.48,12.8,13.55,10.21,11.48
Milwaukee Bucks,2018,REG,60,22,82,0.731707317,118.12,109.26,100.98,116.39,107.62,0.55,0.503,0.583,0.532,52.36,141.02,119.38,17.71,11.01,53.29,42.22,14.51,16.63,11.73,12.16,19.61,20.159,11.159,12.671,43.76,9.01,5.33,41.76,13.41,14.34,10.26,12.34
Minnesota Timberwolves,2018,REG,36,45,81,0.444444444,112.49,113.88,99.44,112.26,113.75,0.512,0.537,0.552,0.57,49.58,128.03,130.12,11.49,13.57,49.46,48.84,15.17,17.4,15.12,14.9,20.321,21.84,12.074,13.198,42.77,13.63,12.18,31.19,12.61,12.91,10.2,10.57
New Orleans Pelicans,2018,REG,33,48,81,0.407407407,115.38,116.61,102.56,112.08,113.29,0.529,0.532,0.563,0.566,50.8,133.96,134.78,14.84,15.75,58.35,51.68,17.89,16.12,14.33,13.7,21.099,20.938,12.802,12.765,46.56,14.3,6.95,32.01,11.94,12.95,9.22,10.44
New York Knicks,2018,REG,17,65,82,0.207317073,104.57,113.78,98.75,105.36,114.79,0.49,0.533,0.529,0.568,48.47,112.07,133.83,11.07,11.73,44.05,50.61,16.39,14.68,13.33,14.1,20.89,20.829,13.024,12.695,40.89,13.51,12.25,33.21,12.99,12.77,10.63,10.14
Oklahoma City Thunder,2018,REG,49,33,82,0.597560976,114.48,111.07,102.1,111.13,107.92,0.514,0.523,0.545,0.56,51.28,128.31,125.22,18.22,12.3,51.8,48.44,16.01,19.23,15.51,12.51,22.427,22.488,12.878,13.549,43.63,13.66,8.03,34.39,12.43,12.62,9.84,10.1
Orlando Magic,2018,REG,42,40,82,0.512195122,107.32,106.61,97.35,109.69,108.83,0.518,0.515,0.55,0.55,50.42,124.85,120.92,10.82,12.71,44.02,47.24,14.71,15.24,12.38,10.96,18.61,18.744,11.11,10.244,37.51,13.62,12.86,35.69,13.9,13.14,11.41,10.69
Philadelphia 76ers,2018,REG,51,31,82,0.62195122,115.18,112.49,101.28,113.01,110.3,0.532,0.512,0.574,0.55,52.35,135.07,123.4,15,14.67,49.39,51.17,17.26,15.33,14.13,12.3,21.281,22.134,13.195,14.488,41.32,14.35,10.2,33.94,13.01,12.75,10.37,10.19
Phoenix Suns,2018,REG,19,63,82,0.231707317,107.5,116.84,99.82,106.62,116.01,0.514,0.545,0.552,0.582,46.12,118.37,136.22,15.21,15.76,49.76,53.02,19.52,18.22,12.11,15.5,23.561,20.659,14.878,12.22,41.86,15.41,9.27,33.25,12.61,12.19,9.83,9.73
Portland Trailblazers,2018,REG,53,29,82,0.646341463,114.66,110.46,98.93,114.88,111.06,0.528,0.516,0.569,0.552,52.82,131.44,122.92,11.04,14.06,49.29,47.83,15.28,14.99,14.99,13.74,20.354,20.72,12.244,12.256,43.33,11.93,10.85,33.78,12.7,12.82,10.44,10.49
Sacramento Kings,2018,REG,38,43,81,0.469135802,114.05,115.24,102.55,110.93,111.91,0.524,0.532,0.553,0.568,48.63,128.51,131.3,20.9,14.28,51.78,51.41,16.43,19.36,13.62,14.38,21.333,21.321,13.099,12.111,42.75,14.65,10.41,31.96,12.59,13.08,10.44,10.23
San Antonio Spurs,2018,REG,48,34,82,0.585365854,111.66,109.98,97.52,113.78,111.79,0.534,0.528,0.572,0.558,50.46,130.04,125,10.35,14.06,43.24,46.63,14.9,14.09,11.56,12.57,18.134,19.646,10.89,11.415,34.56,20.45,16.43,28.34,13.39,13.53,11.54,11.21
Toronto Raptors,2018,REG,58,24,82,0.707317073,114.44,108.35,99.43,113.94,108.09,0.543,0.509,0.579,0.545,50.24,134.16,120.82,18.37,13.5,48.49,47.49,15.89,17.32,12.63,12.89,21.024,20.524,11.951,12.171,41.74,12.06,8.31,37.67,13.26,12.82,10.79,10.4
Utah Jazz,2018,REG,50,32,82,0.609756098,111.72,106.46,99.34,112.03,106.39,0.538,0.507,0.572,0.542,52.12,130.6,116.34,10.62,11.43,49.78,47.71,16.88,16.4,13.28,11.11,21.073,22.378,11.854,13.524,43.79,10.42,6.37,39.14,12.98,12.62,10.21,10.57
Washington Wizards,2018,REG,32,49,81,0.395061728,114.12,116.84,100.77,111.82,114.55,0.532,0.546,0.567,0.58,47.27,128.77,135.12,13.96,13.83,49.93,51.95,16.83,17.74,12.41,14.16,20.753,21.235,12.506,13.074,41.52,11.53,9.96,36.8,13.29,13,10.27,10.37
Atlanta Hawks,2017,REG,24,58,82,0.292682927,103.35,108.81,97.32,106.07,111.69,0.512,0.536,0.547,0.568,48.64,114.29,127.88,10.37,13,41.29,44.39,17.87,17.7,12,12.87,19.585,20.256,10.89,10.817,38.29,13.26,12.27,35.81,13.57,13.67,11.33,11.46
Boston Celtics,2017,REG,55,27,82,0.670731707,104.01,100.43,95.37,108.37,104.81,0.518,0.495,0.552,0.532,50.35,118.01,110.95,10.71,11.63,43.8,47.8,17.24,14.18,12.37,13.52,20.573,19.695,12.329,11.915,40.47,12.26,6.23,40.82,13.7,12.59,11.24,10.71
Brooklyn Nets,2017,REG,28,54,82,0.341463415,106.6,110.34,98.06,107.75,111.66,0.514,0.517,0.551,0.553,48.7,117.81,126.76,9.46,10.38,39.8,43.76,15.39,15.18,12.05,11.16,19.732,19.159,11.512,10.89,38.06,14.24,12.01,35.4,13.68,13.07,11.82,10.39
Charlotte Hornets,2017,REG,36,46,82,0.43902439,108.22,107.96,97.42,110.52,110.36,0.508,0.533,0.549,0.564,50.97,119.81,124.48,9.27,10.66,43.73,45.22,14.71,16.09,13.15,10.61,17.195,22.439,9.585,14.463,38.98,15.75,13.85,31.08,13.16,13.68,10.93,11.31
Chicago Bulls,2017,REG,27,55,82,0.329268293,102.93,109.96,97.4,104.74,112.07,0.497,0.542,0.529,0.575,49.47,114.06,130.76,11.78,11.26,41.76,44.49,16.41,14.98,11.24,11.15,19.171,17.39,10.951,10.171,38.47,13.07,13.48,34.73,13.62,13.72,11.44,11.11
Cleveland Cavaliers,2017,REG,50,32,82,0.609756098,110.87,109.93,97.44,113.5,112.62,0.547,0.54,0.583,0.568,49.11,124.45,126.99,12.48,11.27,44.24,47,16.43,16.12,11.2,12.72,18.573,20.683,10.28,12.183,38.14,12.01,12.01,37.64,13.81,13.43,11.03,10.83
Dallas Mavericks,2017,REG,24,58,82,0.292682927,102.31,105.34,95.04,106.96,110.35,0.513,0.532,0.544,0.566,47.41,113.09,123.27,9.95,14.24,38.83,42.2,13.84,14.61,10.4,11.28,19.244,19.573,11.195,9.646,34.69,13.44,13.71,37.87,14.41,13.79,12.04,11.34
Denver Nuggets,2017,REG,46,36,82,0.56097561,110,108.52,96.12,113.29,111.59,0.536,0.539,0.57,0.567,51.68,126.7,123.5,13.4,12.95,49,47.34,18.72,16.96,13.99,11.16,18.695,20.72,10.756,12.024,44.56,12.35,7.44,35.28,12.8,12.8,10.44,10.65
Detroit Pistons,2017,REG,39,43,82,0.475609756,103.76,103.89,95.43,108.04,108.33,0.512,0.524,0.542,0.555,49.99,116.15,120.43,10.82,9.85,43.56,43.56,14.85,16.57,12.65,11.22,18.39,18.427,10.11,10.598,40.13,15.02,11.63,32.93,13.14,13.58,11.13,11.1
Golden State Warriors,2017,REG,58,24,82,0.707317073,110.5,104.87,97.29,113.35,106.9,0.57,0.505,0.604,0.54,50.62,137.05,114.6,19.13,13.93,43.98,47.17,18.52,17.32,10.26,13.65,19.012,17.963,11.741,10.815,34.65,17.14,14.46,33.36,13.95,12.95,11.62,10.58
Houston Rockets,2017,REG,65,17,82,0.792682927,112.35,103.87,96.77,115.67,107.15,0.551,0.521,0.59,0.551,50.83,126.4,115.2,11.43,11.88,40.71,48.02,15.83,17.38,11.48,11.93,19.476,20.366,10.659,12.768,37.34,8.04,4.39,49.94,15.05,12.81,12.15,10.03
Indiana Pacers,2017,REG,48,34,82,0.585365854,105.56,104.18,95.34,110.3,108.76,0.525,0.527,0.557,0.558,49.64,120.43,117.7,14.74,12.32,44.71,44.83,14.79,18.3,11.89,12.72,18.817,18.439,10.366,10.049,39.93,12.61,19.1,28.06,13.03,13.64,10.87,10.82
Los Angeles Clippers,2017,REG,42,40,82,0.512195122,108.99,108.94,97.94,111.14,110.86,0.527,0.52,0.564,0.557,50.18,121.65,125.23,13.28,15.4,52.22,44.83,17.4,15.87,13.95,13.22,19.976,21.988,11.829,13.524,47.75,11.79,9.11,31.12,11.82,13.37,9.25,10.95
Los Angeles Lakers,2017,REG,35,47,82,0.426829268,108.07,109.62,99.36,107.54,109,0.517,0.515,0.548,0.549,50.85,120.96,123.87,17.54,12.72,51.85,49,18.23,16.33,14.15,13.48,21.195,20.5,11.976,12.451,45.72,11.83,9.51,32.66,12.42,12.91,9.62,10.34
Memphis Grizzlies,2017,REG,22,60,82,0.268292683,99.33,105.54,94.15,105.37,111.84,0.5,0.529,0.539,0.573,48.82,108.73,120,13.17,14.27,42.32,42.1,17.32,17.04,11.71,11.8,23.171,20.415,14.207,11.427,41.69,13.45,13.19,31.28,12.79,13.29,10.44,10.78
Miami Heat,2017,REG,44,38,82,0.536585366,103.42,102.94,94.65,107.89,107.04,0.52,0.507,0.551,0.548,50.19,117.52,114.39,9.29,10.93,44.93,43.54,15.6,16.49,11.28,11.77,20.098,19.354,12.037,10.573,40.81,12.95,10.43,35.52,13.21,12.67,10.68,10.63
Milwaukee Bucks,2017,REG,44,38,82,0.536585366,106.48,106.78,95.5,110.65,110.99,0.531,0.528,0.571,0.568,48.28,122.18,120.38,14.65,10.06,47.37,47.32,15.78,18.21,10.56,13.07,21.366,19.902,12.78,12.354,42.36,15.21,12.75,29.47,12.39,12.51,9.87,10.02
Minnesota Timberwolves,2017,REG,47,35,82,0.573170732,109.51,107.27,95.44,114.02,111.81,0.523,0.539,0.566,0.573,50.12,125.2,120.65,9.67,12.93,49.22,45.71,15.24,17.71,13.62,13.02,18.232,20.866,10.744,12.817,41.77,17.13,15.02,25.89,12.29,13.13,9.94,10.52
New Orleans Pelicans,2017,REG,48,34,82,0.585365854,109.07,107.45,98.6,109.15,107.22,0.542,0.512,0.574,0.546,49.34,129.11,119.94,15.09,14.04,52.2,47.61,17.2,16.23,11.89,13.79,18.622,19.768,10.926,11.247,43.28,13.96,10.95,31.6,12.51,13.23,9.96,10.79
New York Knicks,2017,REG,29,53,82,0.353658537,104.46,108.01,96.24,107.72,111.37,0.51,0.522,0.544,0.559,50.5,118.35,123.02,8.6,11.43,46.71,43.41,17.35,15.07,13.37,13.18,20.512,18.402,12.256,10.317,39.18,18.32,15.88,26.3,12.67,13.33,10.37,11.14
Oklahoma City Thunder,2017,REG,48,34,82,0.585365854,107.83,104.39,96,111.47,108.12,0.514,0.525,0.546,0.56,51.64,119.79,116.62,15.2,11.17,43.93,43.49,14.37,18.68,14.96,12.84,20.171,21.342,10.939,12.878,38.66,13.05,13.85,34.13,13.25,13.08,10.64,10.66
Orlando Magic,2017,REG,25,57,82,0.304878049,103.4,108.22,97.27,106.04,110.95,0.512,0.524,0.545,0.558,47.62,114.99,126.17,12.65,12.94,45.59,48.27,17.04,15.51,10.88,12.77,19.268,18.988,11.329,10.939,39.69,14.98,11.26,33.88,13.3,12.77,10.78,10.33
Philadelphia 76ers,2017,REG,52,30,82,0.634146341,109.79,105.31,99.12,110.21,105.64,0.535,0.492,0.568,0.532,52.93,130.46,112.98,11.45,10.3,47.2,41.56,18.41,16.79,13.76,12.18,22.11,20.39,13.72,12.061,40.3,14.55,10.72,34.15,13.34,13.65,10.81,11.3
Phoenix Suns,2017,REG,21,61,82,0.256097561,103.9,113.28,99.48,104.31,113.91,0.495,0.532,0.532,0.569,49.03,110.82,131.39,14.35,14.6,46.07,47.07,18.61,14.99,12.94,13.15,22.037,20.915,12.732,12.549,42.03,15.31,10.63,31.79,12.48,12.96,9.87,10.64
Portland Trailblazers,2017,REG,49,33,82,0.597560976,105.61,103.02,95.75,109.89,107.45,0.511,0.503,0.549,0.539,51.45,117.82,113.23,8.06,11.26,43.05,42.1,14.8,14.06,13.59,11.74,19.5,19.073,11.695,10.695,40.36,14.5,12.7,32.37,13.02,12.94,11.11,11.16
Sacramento Kings,2017,REG,27,55,82,0.329268293,98.81,105.82,94.17,104.53,111.98,0.502,0.542,0.529,0.576,48.33,108.27,123.31,10.44,12.3,43.51,42.2,15.68,15.26,11.44,11.61,19.988,17.342,11.585,9.012,39.32,16.92,16.02,27.34,12.87,13.79,10.99,11.39
San Antonio Spurs,2017,REG,47,35,82,0.573170732,102.73,99.84,94.42,108.53,105.68,0.507,0.507,0.543,0.539,50.95,119.23,111.39,10.26,12.44,43.78,44.1,14.91,16.23,13.29,12.16,17.183,19.756,10.049,11.073,38.47,18.93,14.4,27.92,12.71,12.83,10.44,10.56
Toronto Raptors,2017,REG,59,23,82,0.719512195,111.65,103.88,96.62,114.68,106.82,0.539,0.501,0.575,0.541,50.91,130.29,113.73,13.28,11.57,48.63,45.32,15.02,17.21,12.94,13.17,21.756,19.927,12.634,11.817,42.18,12.65,7.5,37.33,13.19,12.24,10.53,10.21
Utah Jazz,2017,REG,48,34,82,0.585365854,104.13,99.84,95.05,109.14,104.35,0.527,0.506,0.564,0.543,50.96,120.06,109.38,10.16,9.55,44.37,41.78,16.41,16.88,11.28,10.85,19.61,20.524,10.854,11.476,40.13,13.42,10.8,35.43,13.24,13.1,10.86,11.02
Washington Wizards,2017,REG,43,39,82,0.524390244,106.61,106,96.18,109.87,109.32,0.525,0.522,0.56,0.56,50.33,122.37,117.88,11.59,10.98,42.27,45.44,17.18,17.24,12.61,13.07,21.293,19.988,12.573,11.683,35.51,18.63,14.95,30.67,13.45,13.34,11.34,10.53
Atlanta Hawks,2016,REG,43,39,82,0.524390244,103.16,104.01,96.71,105.59,106.72,0.504,0.507,0.541,0.541,50.26,115.88,117.63,12.12,12.78,42.73,39.15,17.38,16.33,13.48,13.21,18.183,21.561,10.171,12.988,41.79,12.24,15.13,30.61,12.51,13.71,10.18,11.71
Boston Celtics,2016,REG,53,29,82,0.646341463,108.01,105.38,95.96,112.13,109.46,0.525,0.503,0.567,0.545,48.52,123.31,118.92,14,14.04,45.9,45.02,19.15,15.05,11.52,14.34,21.049,20.378,12.549,12.622,44.64,11.31,6.97,36.75,12.74,12.83,10.19,10.83
Brooklyn Nets,2016,REG,20,62,82,0.243902439,105.77,112.5,100.47,104.87,111.52,0.507,0.513,0.551,0.552,48.21,114.5,130,12.39,12.22,41.78,43.22,15.18,16.35,11.17,13.94,20.561,20.293,12.537,11.732,40.01,9.61,11.11,38.92,13.78,13.03,11.28,10.53
Charlotte Hornets,2016,REG,36,46,82,0.43902439,104.89,104.7,94.66,109.97,109.71,0.501,0.523,0.547,0.554,49.54,120.23,122.16,9.41,12.87,39.88,40.49,13.06,14.87,11.8,11.43,16.585,19.89,9.659,12.171,37.87,13.45,15.18,33.27,13.41,13.64,11.09,11.48
Chicago Bulls,2016,REG,41,41,82,0.5,102.87,102.44,94.99,107.74,107.5,0.487,0.507,0.53,0.54,51.74,118.38,116.84,13.79,13.72,43.27,45.24,15.45,15.65,15.15,11.91,17.744,18.793,10.159,11.72,41.01,15.48,17.9,25.46,12.36,12.4,10.19,10.2
Cleveland Cavaliers,2016,REG,51,31,82,0.62195122,110.34,107.16,95.41,114.49,110.89,0.547,0.516,0.58,0.549,49.73,123.27,122.85,12.88,13.34,39.49,44.51,16.65,14.66,11.51,13.68,18.122,20.61,10.378,12.134,36.98,11.7,11.46,39.71,13.98,12.87,11.69,10.6
Dallas Mavericks,2016,REG,33,49,82,0.402439024,97.92,100.84,91.85,106.06,109.39,0.505,0.529,0.541,0.568,46.43,107.49,114.98,7.78,13.63,32.78,39.54,14,15.72,9.85,11.6,19.11,19.402,11.012,9.098,30.06,14.36,18.95,36.33,14.89,13.22,12.68,10.94
Denver Nuggets,2016,REG,40,42,82,0.487804878,111.72,111.21,97.59,114.04,113.63,0.53,0.532,0.568,0.567,53.2,127.81,126.76,14.17,14.32,49.83,47.41,17.96,14.05,15.07,12.28,19.11,20.159,11.171,12.427,46.16,10.16,10.76,32.63,12.32,12.74,9.98,10.55
Detroit Pistons,2016,REG,37,45,82,0.451219512,101.33,102.45,94.17,106.92,107.91,0.492,0.516,0.521,0.554,51.58,113.17,117.98,11.99,10.7,43.15,41.2,12.78,14.87,13.7,10.15,17.89,17.488,10.939,10.159,39.34,18.71,15.69,25.83,12.58,12.92,10.3,10.81
Golden State Warriors,2016,REG,67,15,82,0.817073171,115.89,104.26,98.97,116.5,104.7,0.563,0.486,0.597,0.525,50.53,143.83,112.17,22.57,14.41,46.63,45.44,16.74,19.34,12.57,13.98,19.329,19.366,11.707,11.598,37.93,13.27,12.93,35.4,13.68,12.77,11.12,10.19
Houston Rockets,2016,REG,55,27,82,0.670731707,115.34,109.57,99.34,115.53,109.9,0.545,0.519,0.583,0.556,50.17,129.79,124.28,16.71,14.27,46.71,49,17.49,18.67,14.26,13.84,19.927,20.415,11.329,12.927,42.46,6.31,5.05,45.93,13.96,12.94,10.93,10.05
Indiana Pacers,2016,REG,42,40,82,0.512195122,105.1,105.32,95.47,109.12,109.34,0.516,0.512,0.558,0.555,48.69,120.04,119.29,10.65,10.57,41.88,39.71,16.22,16.65,11.44,12.93,19.476,19.5,12.207,11.122,39.27,14.15,19.51,26.74,12.98,13.67,11.06,11.37
Los Angeles Clippers,2016,REG,51,31,82,0.62195122,108.67,104.38,95.55,113.3,109.03,0.537,0.506,0.574,0.546,49.94,123.22,116.06,13.91,14.28,39.93,42.71,15.26,15.29,11.34,12.73,19.829,22.378,11.878,13.354,37.62,10.02,19.75,32.33,13.78,13.17,11.51,10.66
